"epoch","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/grader","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/grader__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/grader__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/grader","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/grader__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/grader__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader__MAX"
"10","","","","","","","560","560","560","35.196899803436764","35.196899803436764","35.196899803436764","","","","","","","560","560","560","34.80923532442698","34.80923532442698","34.80923532442698","1110","1110","1110","38.068292378191686","38.068292378191686","38.068292378191686","1110","1110","1110","37.86756727913045","37.86756727913045","37.86756727913045"
"11","","","","","","","611","611","611","37.75062330612266","37.75062330612266","37.75062330612266","","","","","","","611","611","611","33.73299917005703","33.73299917005703","33.73299917005703","1211","1211","1211","39.343033185851674","39.343033185851674","39.343033185851674","1211","1211","1211","35.64153685766456","35.64153685766456","35.64153685766456"
"12","","","","","","","662","662","662","36.4470135004573","36.4470135004573","36.4470135004573","","","","","","","662","662","662","35.197977450249695","35.197977450249695","35.197977450249695","1312","1312","1312","41.01990432327182","41.01990432327182","41.01990432327182","1312","1312","1312","33.9971631355078","33.9971631355078","33.9971631355078"
"13","","","","","","","713","713","713","39.39784276013813","39.39784276013813","39.39784276013813","","","","","","","713","713","713","37.57673282390475","37.57673282390475","37.57673282390475","1413","1413","1413","42.170259453482146","42.170259453482146","42.170259453482146","1413","1413","1413","37.50272066039891","37.50272066039891","37.50272066039891"
"14","","","","","","","764","764","764","40.0309750049516","40.0309750049516","40.0309750049516","","","","","","","764","764","764","36.9934929010049","36.9934929010049","36.9934929010049","1514","1514","1514","43.01837637593441","43.01837637593441","43.01837637593441","1514","1514","1514","40.01745735909594","40.01745735909594","40.01745735909594"
"15","","","","","","","815","815","815","36.777829363507564","36.777829363507564","36.777829363507564","","","","","","","815","815","815","36.64022334733217","36.64022334733217","36.64022334733217","1615","1615","1615","43.30846716948811","43.30846716948811","43.30846716948811","1615","1615","1615","39.84009728281991","39.84009728281991","39.84009728281991"
"16","","","","","","","866","866","866","40.87744039575196","40.87744039575196","40.87744039575196","","","","","","","866","866","866","37.21664007116647","37.21664007116647","37.21664007116647","","","","","","","","","","","",""
"17","","","","","","","917","917","917","41.44485192285208","41.44485192285208","41.44485192285208","","","","","","","917","917","917","38.68869770669525","38.68869770669525","38.68869770669525","","","","","","","","","","","",""
"18","","","","","","","968","968","968","41.754089635382385","41.754089635382385","41.754089635382385","","","","","","","968","968","968","38.892789214644246","38.892789214644246","38.892789214644246","","","","","","","","","","","",""
"19","","","","","","","1019","1019","1019","40.77696944512522","40.77696944512522","40.77696944512522","","","","","","","1019","1019","1019","39.31558872851264","39.31558872851264","39.31558872851264","","","","","","","","","","","",""
"20","","","","","","","1070","1070","1070","43.09959604691116","43.09959604691116","43.09959604691116","","","","","","","","","","","","","","","","","","","","","","","",""
"21","","","","","","","1121","1121","1121","42.47556172667386","42.47556172667386","42.47556172667386","","","","","","","","","","","","","","","","","","","","","","","",""
"22","","","","","","","1172","1172","1172","43.05837496238226","43.05837496238226","43.05837496238226","","","","","","","","","","","","","","","","","","","","","","","",""
"23","","","","","","","1223","1223","1223","43.12960840420136","43.12960840420136","43.12960840420136","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","","","","","","1274","1274","1274","43.51093653745602","43.51093653745602","43.51093653745602","","","","","","","","","","","","","","","","","","","","","","","",""
"25","","","","","","","1325","1325","1325","44.19891039090061","44.19891039090061","44.19891039090061","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","","","","","","1376","1376","1376","44.412718365570186","44.412718365570186","44.412718365570186","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","","","","","","1427","1427","1427","44.948780542147745","44.948780542147745","44.948780542147745","","","","","","","","","","","","","","","","","","","","","","","",""
"28","","","","","","","1478","1478","1478","45.46950383056748","45.46950383056748","45.46950383056748","","","","","","","","","","","","","","","","","","","","","","","",""
"29","","","","","","","1529","1529","1529","45.660104375953445","45.660104375953445","45.660104375953445","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","","","","","","1580","1580","1580","45.87306521729859","45.87306521729859","45.87306521729859","","","","","","","","","","","","","","","","","","","","","","","",""
"31","","","","","","","1631","1631","1631","46.288561773704174","46.288561773704174","46.288561773704174","","","","","","","","","","","","","","","","","","","","","","","",""
