"epoch","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/depth","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/depth__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/depth__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/depth","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/depth__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/depth__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth__MAX"
"10","","","","","","","560","560","560","29.31769498042273","29.31769498042273","29.31769498042273","","","","","","","560","560","560","29.151073295511097","29.151073295511097","29.151073295511097","1110","1110","1110","29.153821131255025","29.153821131255025","29.153821131255025","1110","1110","1110","28.22521861798159","28.22521861798159","28.22521861798159"
"11","","","","","","","611","611","611","28.87389418783511","28.87389418783511","28.87389418783511","","","","","","","611","611","611","29.66427015926539","29.66427015926539","29.66427015926539","1211","1211","1211","28.127441897306092","28.127441897306092","28.127441897306092","1211","1211","1211","30.15121969253407","30.15121969253407","30.15121969253407"
"12","","","","","","","662","662","662","29.177907686549716","29.177907686549716","29.177907686549716","","","","","","","662","662","662","28.66303699951042","28.66303699951042","28.66303699951042","1312","1312","1312","27.544098233495873","27.544098233495873","27.544098233495873","1312","1312","1312","32.09682703203054","32.09682703203054","32.09682703203054"
"13","","","","","","","713","713","713","28.04192696689337","28.04192696689337","28.04192696689337","","","","","","","713","713","713","27.795951218347472","27.795951218347472","27.795951218347472","1413","1413","1413","26.818234753023088","26.818234753023088","26.818234753023088","1413","1413","1413","29.025119496496185","29.025119496496185","29.025119496496185"
"14","","","","","","","764","764","764","27.728877497346215","27.728877497346215","27.728877497346215","","","","","","","764","764","764","27.981037173598597","27.981037173598597","27.981037173598597","1514","1514","1514","26.565376871882922","26.565376871882922","26.565376871882922","1514","1514","1514","27.198881849647154","27.198881849647154","27.198881849647154"
"15","","","","","","","815","815","815","28.33376799235064","28.33376799235064","28.33376799235064","","","","","","","815","815","815","28.178612208566175","28.178612208566175","28.178612208566175","1615","1615","1615","26.522370017535845","26.522370017535845","26.522370017535845","1615","1615","1615","27.213038225373136","27.213038225373136","27.213038225373136"
"16","","","","","","","866","866","866","27.627715673312156","27.627715673312156","27.627715673312156","","","","","","","866","866","866","28.872127389539237","28.872127389539237","28.872127389539237","","","","","","","","","","","",""
"17","","","","","","","917","917","917","26.81068008187692","26.81068008187692","26.81068008187692","","","","","","","917","917","917","27.673527042925503","27.673527042925503","27.673527042925503","","","","","","","","","","","",""
"18","","","","","","","968","968","968","26.899425690118317","26.899425690118317","26.899425690118317","","","","","","","968","968","968","27.683109759474114","27.683109759474114","27.683109759474114","","","","","","","","","","","",""
"19","","","","","","","1019","1019","1019","27.40745785942541","27.40745785942541","27.40745785942541","","","","","","","1019","1019","1019","27.39196900727221","27.39196900727221","27.39196900727221","","","","","","","","","","","",""
"20","","","","","","","1070","1070","1070","26.862363345409964","26.862363345409964","26.862363345409964","","","","","","","","","","","","","","","","","","","","","","","",""
"21","","","","","","","1121","1121","1121","26.895224742060776","26.895224742060776","26.895224742060776","","","","","","","","","","","","","","","","","","","","","","","",""
"22","","","","","","","1172","1172","1172","26.695603405717062","26.695603405717062","26.695603405717062","","","","","","","","","","","","","","","","","","","","","","","",""
"23","","","","","","","1223","1223","1223","26.823292483139294","26.823292483139294","26.823292483139294","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","","","","","","1274","1274","1274","26.61235477240359","26.61235477240359","26.61235477240359","","","","","","","","","","","","","","","","","","","","","","","",""
"25","","","","","","","1325","1325","1325","25.988710929486185","25.988710929486185","25.988710929486185","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","","","","","","1376","1376","1376","26.221120451893356","26.221120451893356","26.221120451893356","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","","","","","","1427","1427","1427","25.96458247483761","25.96458247483761","25.96458247483761","","","","","","","","","","","","","","","","","","","","","","","",""
"28","","","","","","","1478","1478","1478","25.71975785660539","25.71975785660539","25.71975785660539","","","","","","","","","","","","","","","","","","","","","","","",""
"29","","","","","","","1529","1529","1529","25.675082255326792","25.675082255326792","25.675082255326792","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","","","","","","1580","1580","1580","25.623216505990175","25.623216505990175","25.623216505990175","","","","","","","","","","","","","","","","","","","","","","","",""
"31","","","","","","","1631","1631","1631","25.438714900141616","25.438714900141616","25.438714900141616","","","","","","","","","","","","","","","","","","","","","","","",""
