"epoch","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MAX","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/semseg","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/semseg__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/semseg__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/semseg","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/semseg__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/semseg__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/semseg","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/semseg__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/semseg__MAX"
"13","2813","2813","2813","77.15683138985897","77.15683138985897","77.15683138985897","2813","2813","2813","78.1323810938425","78.1323810938425","78.1323810938425","2813","2813","2813","73.76005555461862","73.76005555461862","73.76005555461862","2813","2813","2813","75.54273055514527","75.54273055514527","75.54273055514527"
"14","3014","3014","3014","77.01315992541761","77.01315992541761","77.01315992541761","3014","3014","3014","78.97922421643699","78.97922421643699","78.97922421643699","3014","3014","3014","74.31537897186264","74.31537897186264","74.31537897186264","3014","3014","3014","77.98305270532028","77.98305270532028","77.98305270532028"
"15","3215","3215","3215","77.41762403465147","77.41762403465147","77.41762403465147","3215","3215","3215","78.62368568872417","78.62368568872417","78.62368568872417","3215","3215","3215","74.07416159667524","74.07416159667524","74.07416159667524","3215","3215","3215","78.24657137324037","78.24657137324037","78.24657137324037"
"16","3416","3416","3416","77.29565576020222","77.29565576020222","77.29565576020222","3416","3416","3416","80.20172515532632","80.20172515532632","80.20172515532632","","","","","","","","","","","",""
"17","3617","3617","3617","77.29573857671105","77.29573857671105","77.29573857671105","3617","3617","3617","80.88410699598182","80.88410699598182","80.88410699598182","","","","","","","","","","","",""
"18","3818","3818","3818","78.06611701142911","78.06611701142911","78.06611701142911","3818","3818","3818","80.61594590260496","80.61594590260496","80.61594590260496","","","","","","","","","","","",""
"19","4019","4019","4019","77.95050063065335","77.95050063065335","77.95050063065335","4019","4019","4019","80.70604584359769","80.70604584359769","80.70604584359769","","","","","","","","","","","",""
"20","4220","4220","4220","78.14170294131992","78.14170294131992","78.14170294131992","4220","4220","4220","81.11019853224705","81.11019853224705","81.11019853224705","","","","","","","","","","","",""
"21","4421","4421","4421","78.33620801921334","78.33620801921334","78.33620801921334","4421","4421","4421","81.346996061133","81.346996061133","81.346996061133","","","","","","","","","","","",""
"22","4622","4622","4622","78.51918854796364","78.51918854796364","78.51918854796364","4622","4622","4622","82.06131944813228","82.06131944813228","82.06131944813228","","","","","","","","","","","",""
"23","4823","4823","4823","78.37887700085969","78.37887700085969","78.37887700085969","4823","4823","4823","81.75552311575996","81.75552311575996","81.75552311575996","","","","","","","","","","","",""
"24","5024","5024","5024","78.60814114825652","78.60814114825652","78.60814114825652","5024","5024","5024","82.26935851894186","82.26935851894186","82.26935851894186","","","","","","","","","","","",""
"25","5225","5225","5225","78.49596905276893","78.49596905276893","78.49596905276893","5225","5225","5225","82.36838513529726","82.36838513529726","82.36838513529726","","","","","","","","","","","",""
"26","5426","5426","5426","78.79165119510098","78.79165119510098","78.79165119510098","5426","5426","5426","82.3999988569809","82.3999988569809","82.3999988569809","","","","","","","","","","","",""
"27","5627","5627","5627","78.59556739980295","78.59556739980295","78.59556739980295","5627","5627","5627","83.0111686949341","83.0111686949341","83.0111686949341","","","","","","","","","","","",""
"28","","","","","","","5828","5828","5828","83.10524499194366","83.10524499194366","83.10524499194366","","","","","","","","","","","",""
