"epoch","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/semseg","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/semseg__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/semseg__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/semseg","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/semseg__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/semseg__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg__MAX"
"16","","","","","","","866","866","866","68.50515606906411","68.50515606906411","68.50515606906411","","","","","","","866","866","866","66.08876746070571","66.08876746070571","66.08876746070571","","","","","","","","","","","",""
"17","","","","","","","917","917","917","68.255532004729","68.255532004729","68.255532004729","","","","","","","917","917","917","66.36222474962075","66.36222474962075","66.36222474962075","","","","","","","","","","","",""
"18","","","","","","","968","968","968","68.6535153255007","68.6535153255007","68.6535153255007","","","","","","","968","968","968","66.57589897411836","66.57589897411836","66.57589897411836","","","","","","","","","","","",""
"19","","","","","","","1019","1019","1019","68.18442730455062","68.18442730455062","68.18442730455062","","","","","","","1019","1019","1019","66.70755773578485","66.70755773578485","66.70755773578485","","","","","","","","","","","",""
"20","","","","","","","1070","1070","1070","69.96195939232112","69.96195939232112","69.96195939232112","","","","","","","","","","","","","","","","","","","","","","","",""
"21","","","","","","","1121","1121","1121","69.37078646873464","69.37078646873464","69.37078646873464","","","","","","","","","","","","","","","","","","","","","","","",""
"22","","","","","","","1172","1172","1172","69.75397836809933","69.75397836809933","69.75397836809933","","","","","","","","","","","","","","","","","","","","","","","",""
"23","","","","","","","1223","1223","1223","69.95290088734066","69.95290088734066","69.95290088734066","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","","","","","","1274","1274","1274","70.12329130985961","70.12329130985961","70.12329130985961","","","","","","","","","","","","","","","","","","","","","","","",""
"25","","","","","","","1325","1325","1325","70.1876213203868","70.1876213203868","70.1876213203868","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","","","","","","1376","1376","1376","70.63383881746354","70.63383881746354","70.63383881746354","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","","","","","","1427","1427","1427","70.91336301698536","70.91336301698536","70.91336301698536","","","","","","","","","","","","","","","","","","","","","","","",""
"28","","","","","","","1478","1478","1478","71.18926168717287","71.18926168717287","71.18926168717287","","","","","","","","","","","","","","","","","","","","","","","",""
"29","","","","","","","1529","1529","1529","71.33518663128024","71.33518663128024","71.33518663128024","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","","","","","","1580","1580","1580","71.49628172328876","71.49628172328876","71.49628172328876","","","","","","","","","","","","","","","","","","","","","","","",""
"31","","","","","","","1631","1631","1631","71.7272766738458","71.7272766738458","71.7272766738458","","","","","","","","","","","","","","","","","","","","","","","",""
