"epoch","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MAX","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/grader","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/grader__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/grader__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/grader","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/grader__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/grader__MAX"
"14","3014","3014","3014","51.18775347030456","51.18775347030456","51.18775347030456","3014","3014","3014","54.414932830246556","54.414932830246556","54.414932830246556","3014","3014","3014","51.407361201971085","51.407361201971085","51.407361201971085","3014","3014","3014","55.776613047350594","55.776613047350594","55.776613047350594"
"15","3215","3215","3215","48.94291384483758","48.94291384483758","48.94291384483758","3215","3215","3215","53.7677506297459","53.7677506297459","53.7677506297459","3215","3215","3215","51.39605083733788","51.39605083733788","51.39605083733788","3215","3215","3215","56.42963002536824","56.42963002536824","56.42963002536824"
"16","3416","3416","3416","46.43898237397569","46.43898237397569","46.43898237397569","3416","3416","3416","56.26056951040457","56.26056951040457","56.26056951040457","","","","","","","","","","","",""
"17","3617","3617","3617","50.80340000029438","50.80340000029438","50.80340000029438","3617","3617","3617","57.03099923306608","57.03099923306608","57.03099923306608","","","","","","","","","","","",""
"18","3818","3818","3818","50.291832787231094","50.291832787231094","50.291832787231094","3818","3818","3818","54.88705074652577","54.88705074652577","54.88705074652577","","","","","","","","","","","",""
"19","4019","4019","4019","51.871388175003034","51.871388175003034","51.871388175003034","4019","4019","4019","57.18534412088539","57.18534412088539","57.18534412088539","","","","","","","","","","","",""
"20","4220","4220","4220","51.12033117394773","51.12033117394773","51.12033117394773","4220","4220","4220","58.069184798520624","58.069184798520624","58.069184798520624","","","","","","","","","","","",""
"21","4421","4421","4421","51.60369694168001","51.60369694168001","51.60369694168001","4421","4421","4421","58.743330930021926","58.743330930021926","58.743330930021926","","","","","","","","","","","",""
"22","4622","4622","4622","52.63498485674491","52.63498485674491","52.63498485674491","4622","4622","4622","59.60837958562749","59.60837958562749","59.60837958562749","","","","","","","","","","","",""
"23","4823","4823","4823","52.85376164671238","52.85376164671238","52.85376164671238","4823","4823","4823","58.61043300224978","58.61043300224978","58.61043300224978","","","","","","","","","","","",""
"24","5024","5024","5024","54.13585430364816","54.13585430364816","54.13585430364816","5024","5024","5024","59.87328578628677","59.87328578628677","59.87328578628677","","","","","","","","","","","",""
"25","5225","5225","5225","52.85956041122874","52.85956041122874","52.85956041122874","5225","5225","5225","60.28980102658299","60.28980102658299","60.28980102658299","","","","","","","","","","","",""
"26","5426","5426","5426","53.34842965383298","53.34842965383298","53.34842965383298","5426","5426","5426","60.622556088066005","60.622556088066005","60.622556088066005","","","","","","","","","","","",""
"27","5627","5627","5627","53.523081968079666","53.523081968079666","53.523081968079666","5627","5627","5627","61.560757683402414","61.560757683402414","61.560757683402414","","","","","","","","","","","",""
"28","","","","","","","5828","5828","5828","61.40641284762896","61.40641284762896","61.40641284762896","","","","","","","","","","","",""
